First name,Last name,Position,State,Zip,DOB,Sex,MaritalDesc,DateofHire,DateofTermination,TermReason,EmploymentStatus,Department,ManagerName,RecruitmentSource,PerformanceScore,EngagementSurvey,EmpSatisfaction
Sweetwater, Alex,Software Engineering Manager,MA,2184,11/22/66,M ,Single,8/15/2011,,N/A - still employed,Active,Software Engineering,Jennifer Zamora,Search Engine - Google Bing Yahoo,Fully Meets,3.84,3
Foster-Baker, Amy,Sr. Accountant,MA,2050,04/16/79,F,Married,5/1/2009,,N/A - still employed,Active,Admin Offices,Board of Directors,Other,Fully Meets,5.00,3
Boutwell, Bonalyn,Sr. Accountant,MA,2468,4/4/1987,F,Married,2/16/2015,,N/A - still employed,Active,Admin Offices,Brandon R. LeBlanc,Diversity Job Fair,Fully Meets,5.00,4
Ait Sidi, Karthikeyan   ,Sr. DBA,MA,2148,5/5/1975,M ,Married,3/30/2015,06/16/16,career change,Voluntarily Terminated,IT/IS,Simon Roup,Company Intranet - Partner,Fully Meets,4.96,3
Carr, Claudia  N,Sr. DBA,MA,1886,6/6/1986,F,Single,6/30/2016,,N/A - Has not started yet,Future Start,IT/IS,Simon Roup,Vendor Referral,Fully Meets,5.00,5
Favis, Donald  ,Enterprise Architect,CT,6033,07/30/64,M ,Single,2/17/2014,02/19/16,hours,Terminated for Cause,IT/IS,Simon Roup,Vendor Referral,Fully Meets,2.94,5
Roehrich, Bianca,Principal Data Architect,MA,2703,05/27/73,F,Single,5/1/2015,10/11/2015,Another position,Voluntarily Terminated,IT/IS,Simon Roup,Vendor Referral,Fully Meets,3.88,3
Daniele, Ann  ,Sr. Network Engineer,CT,6033,01/18/52,F,Married,10/11/2014,,N/A - still employed,Leave of Absence,IT/IS,Peter Monroe,Vendor Referral,Fully Meets,1.55,5
Lajiri,  Jyoti,Sr. Network Engineer,MA,2169,04/23/86,M ,Married,10/11/2014,,N/A - still employed,Leave of Absence,IT/IS,Peter Monroe,Employee Referral,Fully Meets,4.46,5
Semizoglou, Jeremiah  ,Sr. Network Engineer,MA,1545,9/2/1983,M ,Married,6/30/2016,,N/A - Has not started yet,Future Start,IT/IS,Peter Monroe,On-campus Recruiting,Fully Meets,3.27,4
South, Joe,Sr. Network Engineer,CT,6278,9/9/1965,M ,Single,10/11/2014,,N/A - still employed,Active,IT/IS,Peter Monroe,Employee Referral,Fully Meets,5.00,3
Warfield, Sarah,Sr. Network Engineer,MA,2453,2/5/1978,F,Widowed,3/30/2015,,N/A - still employed,Active,IT/IS,Peter Monroe,Employee Referral,Fully Meets,1.06,4
